0 - moving, 1 - wallBounce, 2 - playerHit, 3 - enemyHit, 4 - playerFail, 5 - enemyFail
playerPosY, enemyPosY, events, playerScore, enemyScore
-4.5, 4.34, 4.00, 0.00, 0.00
-4.5, 4.34, 4.00, 0.00, 0.00
-4.5, 4.3, 4.00, 0.00, 0.00
-4.5, 4.3, 4.00, 0.00, 0.00
-4.5, 4.280003, 4.00, 0.00, 0.00
-4.5, 4.260006, 4.00, 0.00, 0.00
-4.5, 4.260006, 4.00, 0.00, 0.00
-4.5, 4.240011, 4.00, 0.00, 0.00
-4.5, 4.240011, 4.00, 0.00, 0.00
-4.5, 4.220017, 4.00, 0.00, 0.00
-4.5, 4.220017, 4.00, 0.00, 0.00
-4.5, 4.200025, 4.00, 0.00, 0.00
-4.5, 4.200025, 4.00, 0.00, 0.00
-4.5, 4.180034, 4.00, 0.00, 0.00
-4.5, 4.160044, 4.00, 0.00, 0.00
-4.5, 4.160044, 4.00, 0.00, 0.00
-4.5, 4.140055, 4.00, 0.00, 0.00
-4.5, 4.140055, 4.00, 0.00, 0.00
-4.5, 4.120068, 4.00, 0.00, 0.00
-4.5, 4.120068, 4.00, 0.00, 0.00
-4.5, 4.100082, 4.00, 0.00, 0.00
-4.5, 4.100082, 4.00, 0.00, 0.00
-4.5, 4.080098, 4.00, 0.00, 0.00
-4.5, 4.060115, 4.00, 0.00, 0.00
-4.5, 4.060115, 4.00, 0.00, 0.00
-4.5, 4.040133, 4.00, 0.00, 0.00
-4.5, 4.040133, 4.00, 0.00, 0.00
-4.5, 4.020153, 4.00, 0.00, 0.00
-4.5, 4.020153, 4.00, 0.00, 0.00
-4.5, 4.000174, 4.00, 0.00, 0.00
-4.5, 4.000174, 4.00, 0.00, 0.00
-4.5, 3.980196, 4.00, 0.00, 0.00
-4.5, 3.960219, 4.00, 0.00, 0.00
-4.5, 3.960219, 4.00, 0.00, 0.00
-4.5, 3.940244, 4.00, 0.00, 0.00
-4.5, 3.940244, 4.00, 0.00, 0.00
-4.5, 3.92027, 4.00, 0.00, 0.00
-4.5, 3.92027, 4.00, 0.00, 0.00
-4.5, 3.900298, 4.00, 0.00, 0.00
-4.5, 3.880326, 4.00, 0.00, 0.00
-4.5, 3.880326, 4.00, 0.00, 0.00
-4.5, 3.860356, 4.00, 0.00, 0.00
-4.5, 3.860356, 4.00, 0.00, 0.00
-4.5, 3.840388, 4.00, 0.00, 0.00
-4.5, 3.840388, 4.00, 0.00, 0.00
-4.5, 3.820421, 4.00, 0.00, 0.00
-4.5, 3.820421, 4.00, 0.00, 0.00
-4.5, 3.800455, 4.00, 0.00, 0.00
-4.5, 3.78049, 4.00, 0.00, 0.00
-4.5, 3.78049, 4.00, 0.00, 0.00
-4.5, 3.760527, 4.00, 0.00, 0.00
-4.5, 3.760527, 4.00, 0.00, 0.00
-4.5, 3.740565, 4.00, 0.00, 0.00
-4.5, 3.740565, 4.00, 0.00, 0.00
-4.5, 3.720604, 4.00, 0.00, 0.00
-4.5, 3.720604, 4.00, 0.00, 0.00
-4.5, 3.700645, 4.00, 0.00, 0.00
-4.5, 3.680687, 4.00, 0.00, 0.00
-4.5, 3.680687, 4.00, 0.00, 0.00
-4.5, 3.660731, 4.00, 0.00, 0.00
-4.5, 3.660731, 4.00, 0.00, 0.00
-4.5, 3.640775, 4.00, 0.00, 0.00
-4.5, 3.640775, 4.00, 0.00, 0.00
-4.5, 3.620822, 4.00, 0.00, 0.00
-4.5, 3.620822, 4.00, 0.00, 0.00
-4.5, 3.600869, 4.00, 0.00, 0.00
-4.5, 3.580918, 4.00, 0.00, 0.00
-4.5, 3.580918, 4.00, 0.00, 0.00
-4.5, 3.560968, 4.00, 0.00, 0.00
