0 - moving, 1 - wallBounce, 2 - playerHit, 3 - enemyHit, 4 - playerFail, 5 - enemyFail
playerPosY, enemyPosY, events, playerScore, enemyScore
-4.5, 4.34, 4.00, 0.00, 0.00
-4.5, 4.34, 4.00, 0.00, 0.00
-4.5, 4.3, 4.00, 0.00, 0.00
-4.5, 4.3, 4.00, 0.00, 0.00
-4.5, 4.280003, 4.00, 0.00, 0.00
-4.5, 4.280003, 4.00, 0.00, 0.00
-4.5, 4.260006, 4.00, 0.00, 0.00
-4.5, 4.260006, 4.00, 0.00, 0.00
-4.5, 4.240012, 4.00, 0.00, 0.00
-4.5, 4.220017, 4.00, 0.00, 0.00
-4.5, 4.220017, 4.00, 0.00, 0.00
-4.5, 4.200025, 4.00, 0.00, 0.00
-4.5, 4.200025, 4.00, 0.00, 0.00
-4.5, 4.180034, 4.00, 0.00, 0.00
-4.5, 4.180034, 4.00, 0.00, 0.00
-4.5, 4.160044, 4.00, 0.00, 0.00
-4.5, 4.160044, 4.00, 0.00, 0.00
-4.5, 4.140056, 4.00, 0.00, 0.00
-4.5, 4.120069, 4.00, 0.00, 0.00
-4.5, 4.120069, 4.00, 0.00, 0.00
-4.5, 4.100082, 4.00, 0.00, 0.00
-4.5, 4.100082, 4.00, 0.00, 0.00
-4.5, 4.080098, 4.00, 0.00, 0.00
-4.5, 4.080098, 4.00, 0.00, 0.00
-4.5, 4.060115, 4.00, 0.00, 0.00
-4.5, 4.060115, 4.00, 0.00, 0.00
-4.5, 4.040134, 4.00, 0.00, 0.00
-4.5, 4.020153, 4.00, 0.00, 0.00
-4.5, 4.020153, 4.00, 0.00, 0.00
-4.5, 4.000174, 4.00, 0.00, 0.00
-4.5, 4.000174, 4.00, 0.00, 0.00
-4.5, 3.980196, 4.00, 0.00, 0.00
-4.5, 3.980196, 4.00, 0.00, 0.00
-4.5, 3.960219, 4.00, 0.00, 0.00
-4.5, 3.960219, 4.00, 0.00, 0.00
-4.5, 3.940245, 4.00, 0.00, 0.00
-4.5, 3.920271, 4.00, 0.00, 0.00
-4.5, 3.920271, 4.00, 0.00, 0.00
-4.5, 3.900298, 4.00, 0.00, 0.00
-4.5, 3.900298, 4.00, 0.00, 0.00
-4.5, 3.880327, 4.00, 0.00, 0.00
-4.5, 3.880327, 4.00, 0.00, 0.00
-4.5, 3.860357, 4.00, 0.00, 0.00
-4.5, 3.860357, 4.00, 0.00, 0.00
-4.5, 3.840389, 4.00, 0.00, 0.00
-4.5, 3.820422, 4.00, 0.00, 0.00
-4.5, 3.820422, 4.00, 0.00, 0.00
-4.5, 3.800456, 4.00, 0.00, 0.00
-4.5, 3.800456, 4.00, 0.00, 0.00
-4.5, 3.780492, 4.00, 0.00, 0.00
-4.5, 3.780492, 4.00, 0.00, 0.00
-4.5, 3.760529, 4.00, 0.00, 0.00
-4.5, 3.760529, 4.00, 0.00, 0.00
-4.5, 3.740567, 4.00, 0.00, 0.00
-4.5, 3.720606, 4.00, 0.00, 0.00
-4.5, 3.720606, 4.00, 0.00, 0.00
-4.5, 3.700647, 4.00, 0.00, 0.00
-4.5, 3.700647, 4.00, 0.00, 0.00
-4.5, 3.68069, 4.00, 0.00, 0.00
-4.5, 3.660733, 4.00, 0.00, 0.00
-4.5, 3.660733, 4.00, 0.00, 0.00
-4.5, 3.640778, 4.00, 0.00, 0.00
-4.5, 3.640778, 4.00, 0.00, 0.00
-4.5, 3.620824, 4.00, 0.00, 0.00
-4.5, 3.620824, 4.00, 0.00, 0.00
-4.5, 3.600872, 4.00, 0.00, 0.00
-4.5, 3.600872, 4.00, 0.00, 0.00
-4.5, 3.580921, 4.00, 0.00, 0.00
-4.5, 3.560971, 4.00, 0.00, 0.00
